Event type,Event data,IP Address,Source Module,Scope Distance,Event Tags
DNS_NAME,www.intercom-reporting.com,"2600:9000:2247:5200:a:f457:14c0:93a1,2600:9000:2247:d400:a:f457:14c0:93a1,18.66.218.78,18.66.218.70,2600:9000:2247:4400:a:f457:14c0:93a1,2600:9000:2247:a00:a:f457:14c0:93a1,2600:9000:2247:a400:a:f457:14c0:93a1,2600:9000:2247:c00:a:f457:14c0:93a1,2600:9000:2247:c200:a:f457:14c0:93a1,18.66.218.118,18.66.218.77,2600:9000:2247:1400:a:f457:14c0:93a1",httpx->excavate,1,"a-record,aaaa-record,affiliate,cloud-amazon,cname-record,distance-1,ns-record,resolved,soa-record,subdomain"
DNS_NAME,firebaseio.com,,httpx->excavate,1,"affiliate,cloud-google,distance-1,domain,ns-record,resolved,soa-record,txt-record"
DNS_NAME,cloudfunctions.net,,httpx->excavate,1,"affiliate,distance-1,domain,ns-record,resolved,soa-record,txt-record"
DNS_NAME,integrations.gitbook.com,"172.64.146.167,2606:4700:4400::6812:2959,2606:4700:4400::ac40:92a7,104.18.41.89",httpx->excavate,1,"a-record,aaaa-record,affiliate,cdn-cloudflare,distance-1,resolved,subdomain"
DNS_NAME,app.gitbook.com,"172.64.146.167,2606:4700:4400::6812:2959,2606:4700:4400::ac40:92a7,104.18.41.89",httpx->excavate,1,"a-record,aaaa-record,affiliate,cdn-cloudflare,distance-1,resolved,subdomain"
DNS_NAME,googletagmanager.com,"2a00:1450:4002:403::2008,142.251.209.40",httpx->excavate,1,"a-record,aaaa-record,affiliate,distance-1,domain,ns-record,resolved,soa-record,txt-record"
DNS_NAME,www.gstatic.com,"2a00:1450:4002:410::2003,142.250.180.163",httpx->excavate,1,"a-record,aaaa-record,affiliate,distance-1,resolved,subdomain"
DNS_NAME,fonts.intercomcdn.com,"2600:9000:2134:e600:10:8536:c280:93a1,99.86.159.125,99.86.159.15,2600:9000:2134:2600:10:8536:c280:93a1,2600:9000:2134:ca00:10:8536:c280:93a1,2600:9000:2134:e800:10:8536:c280:93a1,99.86.159.96,2600:9000:2134:a200:10:8536:c280:93a1,99.86.159.83,2600:9000:2134:1600:10:8536:c280:93a1,2600:9000:2134:9800:10:8536:c280:93a1,2600:9000:2134:4200:10:8536:c280:93a1",httpx->excavate,1,"a-record,aaaa-record,affiliate,cloud-amazon,cname-record,distance-1,ns-record,resolved,soa-record,subdomain"
DNS_NAME,analytics.google.com,"2001:4860:4802:34::181,216.239.32.181,216.239.34.181,2001:4860:4802:38::181,2001:4860:4802:36::181,2001:4860:4802:32::181,216.239.36.181,216.239.38.181",httpx->excavate,1,"a-record,aaaa-record,affiliate,cname-record,distance-1,resolved,subdomain"
DNS_NAME,www.youtube.com,"142.250.180.142,2a00:1450:4002:416::200e,142.250.180.174,216.58.204.142,2a00:1450:4002:411::200e,142.251.209.14,2a00:1450:4002:415::200e,2a00:1450:4002:414::200e,142.251.209.46,216.58.205.46,216.58.204.238,216.58.209.46",httpx->excavate,1,"a-record,aaaa-record,affiliate,cname-record,distance-1,resolved,subdomain"
